Open,High,Low,Volume,Adj Close
3900.050049,3925,3892,698,3749.635742
3934,3934,3855,248,3726.635986
3771,3896.899902,3771,376,3709.062988
3849,3925,3826.199951,1133,3730.861816
3862.100098,3899.949951,3830.050049,557,3701.23584
3841,3850,3800,314,3652.451904
3820,3828,3787.100098,297,3656.005127
3810,4050,3800,1589,3795.297363
4000,4130,3899.949951,2467,3902.420654
4060,4159,4010,2509,3964.69751
4200,4220,4125,3358,3977.516602
4219.950195,4250,4150,2631,4056.359619
4249,4274.5,4140,1245,3988.657715
4135,4145,4050,509,3908.758789
3851,4200,3851,1017,3812.439453
3881.100098,3970,3881.100098,619,3777.531982
3850,3921.600098,3850,538,3736.142578
4220,4220,3880,450,3738.303467
3849.100098,3970,3805.050049,520,3693.12085
3810,3880,3810,774,3686.111084
3919,4200,3845,922,3738.591797
3849.100098,3980,3849.100098,1132,3792.22583
3920,3965,3900,582,3751.603271
3945,3945,3820,1098,3682.27002
3879.350098,3885.899902,3815,989,3673.722656
3890,3890,3819,627,3680.395752
3801.149902,3870,3801.149902,689,3696.914307
3830,3840,3805.100098,389,3662.102539
3825,3828.949951,3778.050049,561,3639.199707
3753,4025,3753,551,3778.685547
3950,4099.950195,3950,2001,3914.089111
4075.850098,4149,4020,835,3876.972412
4200,4200,3980,475,3845.234131
4045.800049,4047,3970,333,3821.803467
3978,4080,3970,746,3839.712402
4060,4140,4040,2001,3932.094727
4075,4110,4075,469,3920.09082
4050.550049,4089.949951,4050,231,3892.577148
4042,4125,3982,932,3843.217529
4005,4080,3916,897,3785.119629
4050,4200,3955,487,3868.474121
4115,4250.049805,4036,2946,3960.183838
4123.850098,4270,4113.25,2695,4069.371338
4275,4350,4165,1984,4010.505371
4161,4249,4125,999,4000.372314
4160,4225,4100,1518,4026.590576
4270,4270,4141,417,3990.339355
4199.899902,4261,4100,626,3959.944092
4200,4225,3915,3556,4035.568359
4195,4220,4132.100098,850,3999.652588
4200,4370,4136,9500,4034.896729
4200,4249.950195,4050.050049,3266,3939.921387
4170,4170,4051,1352,3959.464355
4150,4179.950195,4011.25,878,3915.145264
4179.899902,4179.899902,3951,1828,3794.194336
3968,4025,3950,564,3819.594971
4098.950195,4100,3927,665,3779.069092
4008.800049,4008.800049,3790,1412,3662.631348
3900,3900,3850,707,3715.064453
3865,3900,3840,478,3703.588867
3880,3915,3801.600098,803,3669.449463
3611,3809,3611,559,3648.547119
